frequency_hz,amplitude,power
71.01990049751245,599.09344,358912.97
71.14427860696519,524.1263,274708.34
71.26865671641792,293.083,85897.65
71.39303482587066,643.71216,414365.34
71.51741293532339,792.28925,627722.25
71.64179104477613,887.2092,787140.2
71.76616915422886,1214.4003,1.474768e+06
71.8905472636816,887.49414,787645.9
72.01492537313433,974.28827,949237.6
72.13930348258708,621.518,386284.62
72.26368159203982,454.34256,206427.16
72.38805970149255,127.10746,16156.307
72.51243781094529,248.59976,61801.84
72.63681592039802,281.4081,79190.52
72.76119402985076,672.2665,451942.22
72.88557213930349,668.22327,446522.34
73.00995024875623,1014.05695,1.0283115e+06
73.13432835820896,1226.7877,1.5050081e+06
73.2587064676617,1384.8887,1.9179166e+06
73.38308457711443,1743.3823,3.039382e+06
73.50746268656718,1537.3552,2.363461e+06
73.63184079601992,1671.7349,2.7946975e+06
73.75621890547265,1219.8455,1.488023e+06
73.88059701492539,691.85583,478664.5
74.00497512437812,385.13226,148326.86
74.12935323383086,713.5842,509202.44
74.25373134328359,1089.9167,1.1879185e+06
74.37810945273633,1589.8002,2.5274645e+06
74.50248756218906,1773.5106,3.14534e+06
74.6268656716418,1706.3246,2.9115435e+06
74.75124378109454,1582.6306,2.5047198e+06
74.87562189054728,1086.4604,1.1803962e+06
75.00000000000001,1083.3822,1.173717e+06
75.12437810945275,1604.3677,2.5739958e+06
75.24875621890548,1768.2256,3.1266218e+06
75.37313432835822,1992.3617,3.969505e+06
75.49751243781095,2251.6833,5.070078e+06
75.62189054726369,1685.8164,2.841977e+06
75.74626865671642,1423.2227,2.0255628e+06
75.87064676616916,941.3361,886113.7
75.9950248756219,352.26624,124091.5
76.11940298507464,588.4019,346216.8
76.24378109452738,1260.624,1.5891729e+06
76.36815920398011,1501.0172,2.2530528e+06
76.49253731343285,1662.8728,2.765146e+06
76.61691542288558,1858.329,3.4533865e+06
76.74129353233832,1537.369,2.3635035e+06
76.86567164179105,1397.5455,1.9531335e+06
76.99004975124379,1214.0101,1.4738206e+06
77.11442786069652,545.5276,297600.34
77.23880597014926,654.01056,427729.8
77.36318407960201,804.92395,647902.56
77.48756218905474,711.52856,506272.9
77.61194029850748,634.0478,402016.6
77.73631840796021,874.815,765301.3
77.86069651741295,544.9769,296999.84
77.98507462686568,454.93317,206964.19
78.10945273631842,809.66,655549.25
78.23383084577115,826.7625,683536.25
78.35820895522389,743.23456,552397.6
78.48258706467662,970.8306,942512.1
78.60696517412936,842.5885,709955.4
78.7313432835821,752.1936,565795.2
78.85572139303484,792.47107,628010.4
78.98009950248758,580.3665,336825.28
79.10447761194031,687.9563,473283.88
79.22885572139305,596.4288,355727.28
79.35323383084578,939.46313,882591.0
79.47761194029852,1002.389,1.0047837e+06
79.60199004975125,1287.036,1.6564618e+06
79.72636815920399,1328.4575,1.7647994e+06
79.85074626865672,1230.6063,1.5143919e+06
79.97512437810947,1264.7682,1.5996386e+06
80.0995024875622,1005.66907,1.01137025e+06
80.22388059701494,1097.6333,1.2047989e+06
80.34825870646767,1087.1879,1.1819775e+06
80.47263681592041,1207.126,1.4571531e+06
80.59701492537314,1353.8275,1.832849e+06
80.72139303482588,1394.8871,1.94571e+06
80.84577114427861,1368.3373,1.8723469e+06
80.97014925373135,1284.1088,1.6489354e+06
81.09452736318408,1093.4185,1.1955639e+06
81.21890547263682,955.2701,912540.94
81.34328358208957,831.49457,691383.2
81.4676616915423,775.9371,602078.3
81.59203980099504,1015.54266,1.0313269e+06
81.71641791044777,859.74304,739158.1
81.84079601990051,1129.824,1.2765022e+06
81.96517412935324,1004.5839,1.0091889e+06
82.08955223880598,856.16956,733026.3
82.21393034825871,958.0888,917934.2
82.33830845771145,529.5358,280408.2
82.46268656716418,623.86255,389204.47
82.58706467661693,402.46417,161977.4
82.71144278606967,527.9745,278757.06
82.8358208955224,543.9913,295926.5
82.96019900497514,626.93634,393049.2
83.08457711442787,725.6275,526535.25
83.20895522388061,434.56247,188844.55
83.33333333333334,640.0462,409659.16
83.45771144278608,307.79358,94736.89
83.58208955223881,420.80713,177078.64
83.70646766169155,265.57205,70528.516
83.8308457711443,330.94485,109524.5
83.95522388059703,520.3744,270789.5
84.07960199004977,107.63721,11585.769
84.2039800995025,549.9743,302471.75
84.32835820895524,323.3278,104540.86
84.45273631840797,196.40866,38576.363
84.5771144278607,361.1252,130411.42
84.70149253731344,44.628956,1991.7437
84.82587064676618,256.9181,66006.91
84.95024875621891,83.59837,6988.688
85.07462686567165,285.55225,81540.086
85.1990049751244,192.68996,37129.418
85.32338308457713,242.80377,58953.67
85.44776119402987,263.87003,69627.39
85.5721393034826,23.086195,532.9724
85.69651741293534,173.507,30104.68
85.82089552238807,233.44669,54497.355
85.9452736318408,65.97429,4352.607
86.06965174129354,187.20192,35044.56
86.19402985074628,4.567201,20.859325
86.31840796019901,162.20673,26311.021
86.44278606965176,179.28468,32142.998
86.5671641791045,284.02692,80671.29
86.69154228855723,243.78487,59431.062
86.81592039800996,271.8077,73879.43
86.9402985074627,231.40285,53547.277
87.06467661691543,255.21095,65132.63
87.18905472636817,274.92218,75582.2
87.3134328358209,127.99866,16383.656
87.43781094527364,239.5288,57374.043
87.56218905472637,253.31554,64168.76
87.68656716417911,159.90723,25570.32
87.81094527363186,432.67242,187205.42
87.9353233830846,188.21248,35423.938
88.05970149253733,354.9204,125968.5
88.18407960199006,286.4017,82025.94
