time_sec,amplitude
3.796,-0.06831761
3.8,-0.1783197
3.804,0.2092297
3.808,-0.049563892
3.812,0.006456232
3.816,0.18401533
3.82,0.115596786
3.824,-0.04573408
3.828,-0.09586871
3.832,0.17238727
3.836,-0.09609468
3.84,-0.28383178
3.844,0.109565526
3.848,-0.026994191
3.852,0.00021861028
3.856,-0.14065681
3.86,0.13669641
3.864,-0.03336177
3.868,-0.10164724
3.872,-0.032069527
3.876,0.0931088
3.88,-0.026504222
3.884,-0.08016743
3.888,-0.028772585
3.892,0.1644414
3.896,-0.10714535
3.9,-0.09980871
3.904,0.06402996
3.908,0.0841026
3.912,-0.1439152
3.916,-0.16950664
3.92,0.17752224
3.924,0.020350121
3.928,-0.06515163
3.932,-0.07575418
3.936,0.12078444
3.94,-0.04070279
3.944,-0.19150844
3.948,0.10166997
3.952,0.06956954
3.956,-0.068137415
3.96,-0.21496701
3.964,0.2741067
3.968,-0.061731853
3.972,-0.026323106
3.976,-0.1963704
3.98,0.32251698
3.984,-0.24501291
3.988,0.013071797
3.992,-0.16032347
3.996,0.23851593
4.0,-0.17155284
4.004,-0.049408086
4.008,0.109101504
4.012,-0.0016486365
4.016,-0.132438
4.02,0.09412889
4.024,0.1729764
4.028,-0.030857287
4.032,-0.07635416
4.036,0.06451623
4.04,0.11727632
4.044,-0.06665321
4.048,-0.0846179
4.052,0.121010914
4.056,0.032731608
4.06,-0.09549237
4.064,-0.15307993
4.068,0.08766143
4.072,0.05617558
4.076,-0.12731874
4.08,-0.091217265
4.084,0.20491754
4.088,-0.024908204
4.092,-0.15557724
4.096,0.08281639
4.1,0.16986531
4.104,-0.05144114
4.108,-0.14819714
4.112,0.18573898
4.116,0.046971157
4.12,-0.13249552
4.124,-0.08399605
4.128,0.17665139
4.132,0.0033278838
4.136,-0.14667794
4.14,-0.028915964
4.144,0.1320639
4.148,-0.054369606
4.152,-0.18652785
4.156,0.09835893
4.16,0.09613894
4.164,-0.06492969
4.168,-0.11701423
4.172,0.09921296
4.176,0.070217274
4.18,-0.102539256
4.184,-0.13357495
4.188,0.12603256
4.192,-0.009831971
4.196,-0.103688754
4.2,-0.04206271
4.204,0.092413306
4.208,-0.07870971
4.212,-0.055747747
4.216,0.067619205
4.22,0.10314978
4.224,-0.0052823564
4.228,-0.07051055
4.232,0.032469735
4.236,0.12481791
4.24,0.049411617
4.244,-0.017682362
4.248,0.02146262
4.252,-0.060922265
4.256,0.0050826417
4.26,-0.08473526
4.264,0.063267946
4.268,-0.030402847
4.272,-0.11791715
4.276,0.045406118
4.28,0.0023339354
4.284,0.053547073
4.288,-0.030253662
4.292,0.06028833
4.296,0.04667138
4.3,-0.0019230461
4.304,-0.07494113
4.308,-0.046887312
4.312,0.035895642
4.316,-0.020462751
4.32,-0.0033999356
4.324,-0.034375474
4.328,-0.0067988844
4.332,0.005295274
4.336,0.014324257
4.34,-0.08727634
4.344,-0.067201674
4.348,0.014875025
4.352,-0.016954929
4.356,0.030078474
4.36,-0.05504755
4.364,0.013815375
4.368,0.03038212
4.372,0.045755308
4.376,0.06484101
4.38,0.05533262
4.384,0.028213164
4.388,-0.0336145
4.392,0.02954578
4.396,0.025855482
4.4,0.030514592
4.404,0.11135523
4.408,0.029288001
4.412,0.015243448
4.416,0.050811537
4.42,0.060677435
4.424,-0.008620169
4.428,0.00999375
4.432,0.03647795
4.436,-0.074019104
4.44,0.029375602
4.444,0.028095195
4.448,0.08063993
4.452,-0.0057090353
4.456,-0.060562506
4.46,0.011901198
4.464,0.00814141
4.468,0.002134509
4.472,-0.02256449
4.476,-0.022157798
4.48,-0.03137788
4.484,-0.019558894
4.488,0.037734676
4.492,-0.024528958
4.496,-0.038064215
4.5,0.02243492
4.504,-0.017813157
4.508,-0.033174884
4.512,-0.015274797
4.516,-0.015091246
4.52,-0.014714045
4.524,-0.014261923
4.528,0.0066611595
4.532,0.013932993
4.536,0.013568616
4.54,-0.0003996127
4.544,0.00981837
4.548,0.015221789
4.552,-0.01571632
4.556,-0.007712475
4.56,-0.024504105
4.564,-0.029515387
4.568,0.0154697895
4.572,-0.0010393311
4.576,0.007119436
4.58,-0.0057195723
4.584,-0.012658516
4.588,-0.008930933
4.592,0.010906544
4.596,0.0027995673
4.6,-0.02151705
4.604,0.008484786
4.608,-7.706281e-05
4.612,-0.0010248845
4.616,-0.0094349645
4.62,0.0032203905
4.624,-0.009159796
4.628,-0.00013872096
4.632,0.0013285766
4.636,-0.0031002318
4.64,0.0067001535
4.644,0.016927335
4.648,0.008377139
4.652,0.0014667802
4.656,0.0031246978
4.66,-0.0033194683
4.664,-0.017280791
4.668,0.0037878717
4.672,-0.004649766
4.676,-0.00375356
4.68,0.011573489
4.684,-0.004282495
4.688,-0.019075818
4.692,-0.006661133
4.696,0.011836426
4.7,0.0113228895
4.704,-0.014231602
4.708,0.01595109
4.712,0.017363893
4.716,0.00462396
4.72,-0.005748915
4.724,0.00853801
4.728,-0.0011856076
4.732,-0.009419553
4.736,0.006777157
4.74,-0.0068013477
4.744,-0.0054263095
4.748,0.004375664
4.752,-0.01666901
4.756,-0.006606836
4.76,0.012976402
4.764,-0.004910782
4.768,0.004342205
4.772,0.007826401
4.776,0.012631368
4.78,-0.0014503364
4.784,0.007893185
4.788,-0.0026924703
4.792,-0.0027450612
4.796,0.002974608
4.8,-0.010456115
4.804,-0.00066492014
4.808,0.003290642
4.812,0.0023612243
4.816,-0.010536239
4.82,-0.010978444
4.824,-0.0016787138
4.828,-0.0018546804
4.832,0.012925031
4.836,0.013808962
4.84,-0.0093763815
4.844,0.0015045323
4.848,-0.0009074866
4.852,0.0039596716
4.856,0.0075409543
4.86,0.008175299
4.864,0.012549946
4.868,-0.00681585
4.872,0.0013768345
4.876,0.00205726
4.88,0.0029011192
4.884,0.003487723
4.888,-0.007500973
4.892,-0.0007434085
4.896,0.00093814876
4.9,0.012367064
4.904,0.0066902796
4.908,0.00048046562
4.912,-0.0041165547
4.916,0.002209614
4.92,0.002979043
4.924,0.000492494
4.928,-0.00125418
4.932,-0.000763208
4.936,0.0022573126
4.94,-0.0014541473
4.944,-0.0042790915
4.948,-0.004677809
4.952,0.008927144
4.956,0.003088146
4.96,0.0038440719
4.964,-0.0033681598
4.968,-0.0038186382
4.972,-0.0056382706
4.976,-0.00016851278
4.98,0.0045991456
4.984,-0.008496696
4.988,-0.005670552
4.992,-0.005059514
4.996,0.00030049423
5.0,0.0022292598
5.004,-0.0058829123
5.008,-0.006001139
5.012,-0.0063516083
5.016,-0.0009968721
5.02,-5.4804725e-05
5.024,0.00012039831
5.028,-0.0015735523
5.032,-0.0018915201
5.036,-0.0013575153
5.04,0.0017039054
5.044,0.0012326746
5.048,-0.0028926688
5.052,-0.0021062875
5.056,0.00060040725
5.06,-0.0030747945
5.064,-0.0036435148
5.068,0.00113338
5.072,0.0008571584
5.076,-0.0015476713
5.08,-0.0031720032
5.084,0.0029335795
5.088,-0.00045235083
5.092,-0.00043124513
5.096,0.0001740912
5.1,-0.0016797502
5.104,-0.0014823244
5.108,0.00042894916
5.112,0.0019074687
5.116,0.0023476712
5.12,-0.00022858025
5.124,0.0008277917
5.128,0.0011390424
5.132,0.002485881
5.136,0.0004472721
5.14,-0.0007224111
5.144,-0.0010664659
5.148,-0.0008307015
5.152,-4.437706e-05
5.156,-0.00364422
5.16,0.0019043044
5.164,0.001765852
5.168,-0.00035938324
5.172,0.00046826058
5.176,0.0015125424
5.18,0.0009115047
5.184,0.0011067402
5.188,0.0012259046
5.192,-0.0012163902
5.196,-0.00090446323
5.2,-0.0034047845
5.204,-0.002269865
5.208,-0.0006099554
5.212,0.0005444959
5.216,-0.0004589372
5.22,0.00057615136
5.224,-0.00028617744
5.228,-0.0002657684
5.232,0.0018200821
5.236,0.0008991915
5.24,0.00017436655
5.244,0.00061291433
5.248,0.0012541469
5.252,0.0020924613
5.256,0.00084220525
5.26,0.0020808894
5.264,0.0007992174
5.268,0.00037514477
5.272,-0.0004473584
5.276,-0.00041878194
5.28,0.0015538732
5.284,0.00019647708
5.288,-0.0008263876
5.292,0.00028974982
5.296,4.064497e-05
5.3,0.00024337172
5.304,-0.0007828714
5.308,2.683052e-05
5.312,0.0002751911
5.316,-0.0002381652
5.32,0.0008632559
5.324,0.00059759535
5.328,-4.8184e-05
5.332,-7.3472154e-05
5.336,-0.00015300301
5.34,-3.7467034e-05
5.344,0.000101672165
5.348,-0.00015539383
5.352,-0.00079629436
5.356,-0.0002518547
5.36,-0.00015004686
5.364,-2.4644043e-05
5.368,7.163286e-05
5.372,0.0005390004
5.376,0.00025946167
5.38,4.61112e-07
5.384,-0.000272977
5.388,-0.00039269193
5.392,-0.00015535965
5.396,0.00013059519
5.4,0.00013476559
5.404,4.7322406e-05
5.408,0.00012687634
5.412,-0.00031241286
5.416,2.5979698e-05
5.42,-0.00026666297
5.424,-0.00023680057
5.428,0.00012792356
5.432,9.429424e-05
5.436,-5.6638164e-06
5.44,-0.00018119384
5.444,0.00013389727
5.448,0.00024752185
5.452,0.00022041333
5.456,2.7893038e-05
5.46,-0.00017188632
5.464,-0.00034943307
5.468,-0.000112090565
5.472,-1.7268605e-05
5.476,6.0279854e-07
5.48,0.00029143237
5.484,-0.00014963506
5.488,-0.00015727873
5.492,-0.00020985749
5.496,-0.0001199291
5.5,-0.00049385044
5.504,9.591466e-06
5.508,-1.1430873e-05
5.512,0.00012628266
5.516,-0.00010223668
5.52,4.4529654e-05
5.524,-0.0003095512
5.528,-8.111454e-05
5.532,0.0004259411
5.536,0.00023511917
5.54,-0.0004319229
5.544,-0.00010590358
5.548,-0.00030403252
5.552,8.9721514e-05
5.556,-0.0003719217
5.56,-0.00010362399
5.564,-4.0997722e-05
5.568,0.00011904522
5.572,-8.7999746e-05
5.576,-8.524685e-05
5.58,-8.740646e-05
5.584,1.3591096e-05
5.588,-0.00019788582
5.592,-4.66982e-05
5.596,-0.00018000754
5.6,-0.00010521661
5.604,-2.9816396e-05
5.608,-0.00049952
5.612,-0.00039590764
5.616,0.00011509441
5.62,0.00042503592
5.624,-1.4167084e-05
5.628,-0.00022939374
5.632,-0.00023336097
5.636,-0.0008944266
5.64,-0.00027082406
5.644,9.099245e-05
5.648,3.178296e-05
5.652,3.574064e-05
5.656,-0.00157893
5.66,-0.00021722907
5.664,0.00027458445
5.668,-0.00223214
5.672,-0.000540089
5.676,-0.002718321
5.68,0.0043148026
